timestamp,lat,lon,gps_alt,baro_alt,fused_alt,sats,hdop,jump,vib,final_trust,mode
2026-01-02 18:53:16,26.664633,73.511517,262.7,-0.01,218.94,4,3.0,0.0,0.023,0.5,HYBRID
2026-01-02 18:53:17,26.664632,73.511513,262.8,-0.06,87.6,4,3.0,0.43,0.017,0.5,HYBRID
2026-01-02 18:53:18,26.664634,73.5115,262.8,-0.27,87.46,4,3.0,1.25,0.017,0.5,HYBRID
2026-01-02 18:53:19,26.664637,73.51149,262.9,-0.36,219.05,4,3.0,1.02,0.022,0.5,HYBRID
2026-01-02 18:53:24,26.664738,73.511295,261.1,-0.66,86.59,4,3.0,22.49,0.021,0.5,HYBRID
2026-01-02 18:53:25,26.664735,73.511287,260.8,-0.29,130.25,4,3.0,0.78,0.015,0.5,HYBRID
2026-01-02 18:53:26,26.664732,73.511281,260.3,-0.96,216.76,4,3.0,0.7,0.019,0.5,HYBRID
2026-01-02 18:53:27,26.664728,73.511278,259.7,-0.36,216.36,4,3.0,0.56,0.022,0.5,HYBRID
2026-01-02 18:53:28,26.664726,73.511273,259.0,-0.52,215.75,4,3.0,0.55,0.022,0.5,HYBRID
